,Title,1Similar,2Similar,3Similar,4Similar,5Similar,6Similar
181,Saas Bahu Aur Saazish: Kumkum Bhagya takes a seven year leap ,"Saas Bahu Aur Saazish: Watch 11th April, 2018 full episode ",Saas Bahu Aur Saazish: Salman Khan caught in a new look ,"Saas Bahu Aur Saazish: Watch full episode 12th April, 2018 ",Saas Bahu Aur Saazish: Serial Mahakaali will now come once a week ,Saas Bahu Aur Saazish: Day out with Dishank Arora,"Saas Bahu Aur Saazish: Watch 10th April, 2018n full episode "
182,Saas Bahu Aur Saazish: Shweta Tiwari spending vacation in London with daughter Palak Chaudhary,Saas Bahu Aur Saazish: Day out with Dishank Arora,"Saas Bahu Aur Saazish: Watch 11th April, 2018 full episode ",Saas Bahu Aur Saazish: Salman Khan caught in a new look ,"Saas Bahu Aur Saazish: Watch full episode 12th April, 2018 ",Saas Bahu Aur Saazish: Serial Mahakaali will now come once a week ,Saas Bahu Aur Saazish: Nakuul Mehta learn sword fighting while his vacation in Japan 
183,"Mahindra Electric, Zoomcar partner to offer self-drive EVs on rent",Honda Working On Electric Scooter For India,Electric vehicles major attraction in 'Happy Cities Summit',Students in Chhattisgarh village still await power supply,Next Generation Mahindra Scorpio and XUV500 Coming Before 2020,Uber aims to reduce traffic &amp; congestion with 'Movement',"Tech Mahindra, Balbix launch AI-powered predictive cyber risk platform"
184,Saas Bahu Aur Saazish: Amitabh Bachchan's latest as shoot goes viral on social media ,"Saas Bahu Aur Saazish: Watch 11th April, 2018 full episode ",Saas Bahu Aur Saazish: Salman Khan caught in a new look ,"Saas Bahu Aur Saazish: Watch full episode 12th April, 2018 ",Saas Bahu Aur Saazish: Serial Mahakaali will now come once a week ,Saas Bahu Aur Saazish: Day out with Dishank Arora,"Saas Bahu Aur Saazish: Watch 10th April, 2018n full episode "
185,Now Transgenders to get PAN card under 'Independent' gender category,Facebook breach: Indians weigh in on data protection,Aadhaar not necessary for pensioners to submit life certificate: EPFO,Ever wonder which is the richest political party in India?,SBI adopts Odisha village for digital payments,Rivigo eases e-way bill generation process,BJP richest political party of India: ADR
186,SM Krishna planning 'ghar wapsi' to Congress?,BJP richest political party of India: ADR,Karnataka government is nothing but 'ATM' of corruption for Congress: Amit Shah,Congress' 1st list for Karnataka assembly polls likely on Friday,Congress' 1st list for Karnataka assembly polls likely on Friday,Congress terms PM Modi's decision to hold fast 'farce','Don't vote for BJP'- Andhra Deputy CM
187,Was held by collar and dragged through aisle: IndiGo passenger,IndiGo offloads passenger after he expresses concern over mosquitoes on board,IndiGo offloads passenger after he expresses concern over mosquitoes on board,IndiGo offloads passenger after he expresses concern over mosquitoes on board,Passengers Swatting Mosquitoes In Jet Airways Flight,"After IndiGo, Jet Airways opts out of Air India bid",Probe initiated after navy chopper makes emergency landing
188,"Tech Mahindra, Balbix launch AI-powered predictive cyber risk platform","Mahindra Electric, Zoomcar partner to offer self-drive EVs on rent",Next Generation Mahindra Scorpio and XUV500 Coming Before 2020,ASSOCHAM demands BPO-centric response team to minimise cyber attacks,Faircent launches open API platform; invites developers to leverage tech infra,"Mojro raises $650K for efficient planning, optimisation of resources","Security for Rabri Devi not pulled, says Bihar ADG"
189,Kulfi Kumar Bajewala: Kulfi remembers her mother ,Kulfi Kumar Bajewala: Police arrests Kulfi in Mumbai ,Saas Bahu Aur Saazish: Shilpa Shinde remembers Angoori bhabhi ,Deepika Singh shares her beauty tips for summer ,Twarit: PM Modi to observe fast on April 12 over Parliament disruption,"Bharat Bandh: Section 144 imposed, shops remain closed in Meerut ","Saas Bahu Aur Saazish: Watch 11th April, 2018 full episode "
190,"Saas Bahu Aur Saazish: Watch 10th April, 2018n full episode ","Saas Bahu Aur Saazish: Watch 11th April, 2018 full episode ","Saas Bahu Aur Saazish: Watch full episode 12th April, 2018 ",Saas Bahu Aur Saazish: Salman Khan caught in a new look ,Saas Bahu Aur Saazish: Serial Mahakaali will now come once a week ,Saas Bahu Aur Saazish: Day out with Dishank Arora,Saas Bahu Aur Saazish: Anita Hassanandani's first look from Naagin 3 is out 
191,Saam Daam Dand Bhed: Bulbul and Mandira dance together to get the key from Ananat ,Day out with Saam Daam Dand Bhed actor Bhanu Uday,Saas Bahu Aur Saazish: Varun Tookrey posts picture of Sonal Vengurlekar's daring stunt in Saam Daam Dand Bhed,Deepika Singh shares her beauty tips for summer ,"I stole the keys of my dad's car, REVEALS Rohit Shetty during announcement of 'Little Singham'",Saas Bahu Aur Saazish: Parul Chauhan and Ankita Sharma do dinner together ,Twarit: PM Modi to observe fast on April 12 over Parliament disruption
192,Rishta Likhenge Hum Naya: Diya answers people questioning Ratan for not completing his project  ,"Rishta Likhenge Hum Naya : Diya,Ratan and Yash become detectives to prove Ratan innocent ",Yeh Rishta Kya Kehlata Hai: Kartik becomes Naira's photographer ,Yeh Rishta Kya Kehlata Hai: Kartik and Naira's mango date ,"Unnao: Even after father's death govt. is asking question to us, says victim's sister in tears",Deepika Singh shares her beauty tips for summer ,Yeh Rishta Kya Kehlata Hai: Subham gets engaged to Luteri Dulhan Suhana 
193,PM Narendra Modi to observe day-long fast on April 12 against Parliament disruption,PM Modi to observe fast on Thursday to protest Parliament washout,Maharashtra BJP MLA forget fast in front of sweets and sandwiches  ,PM to party leaders: Observe fast tomorrow to expose Opposition,Congress terms PM Modi's decision to hold fast 'farce',Twarit: PM Modi to observe fast on April 12 over Parliament disruption,"Congress questions PM's 'silence' over Unnao rape case, says time to repent, not to indulge in theatrics"
194,Saas Bahu Aur Saazish: Day out with Dishank Arora,"Saas Bahu Aur Saazish: Watch 11th April, 2018 full episode ",Saas Bahu Aur Saazish: Salman Khan caught in a new look ,"Saas Bahu Aur Saazish: Watch full episode 12th April, 2018 ",Saas Bahu Aur Saazish: Serial Mahakaali will now come once a week ,"Saas Bahu Aur Saazish: Watch 10th April, 2018n full episode ",Saas Bahu Aur Saazish: Anita Hassanandani's first look from Naagin 3 is out 
195,Aircel-Maxis case: ED questioning Karti,Ask Nirav Modi to return to India: Delhi HC to Firestar diamonds,Bhagalpur violence: Arijit Shashwat released from jail,Bhagalpur violence: Arijit Shashwat surrenders,Not enough evidence against rape accused BJP MLA Kuldeep Sengar: UP govt tells HC,Unnao rape: SIT to send report by today evening,Aaj Ka Arjun: Rift between Nitish and BJP's friendship?
196,Someone hacked and deleted ‘Despacito’ video: Know why!,"Most-Watched YouTube Video 'Despacito' Hacked, Restored Now",Viral Sach: Social media surfaces with video claiming BJP MLA Kuldeep Sengar innocent ,"Viral Sach FULL: Unnao rape victim's one year old video surfacing on internet, know the truth ",VIRAL SACH: Viral videos claim BJP MLA Kuldeep Singh Sengar is innocent?,VIRAL SACH: Viral videos claim BJP MLA Kuldeep Singh Sengar is innocent?,Passengers Swatting Mosquitoes In Jet Airways Flight
197,Yeh Rishta Kya Kehlata Hai: Subham gets engaged to Luteri Dulhan Suhana ,Yeh Rishta Kya Kehlata Hai: Kartik becomes Naira's photographer ,Yeh Rishta Kya Kehlata Hai: Kartik and Naira's mango date ,Saas Bahu Aur Saazish: Suhana Khan spotted partying with Agastya Nanda ,Rishta Likhenge Hum Naya: Diya answers people questioning Ratan for not completing his project  ,Saas Bahu Aur Saazish: Karan Johar poses with Shah Rukh Khan’s daughter Suhana Khan,Deepika Singh shares her beauty tips for summer 
198,UK seeking two-way street on defence cooperation with India,"DefExpo 2018: PM aims to transform defence production, procurement",Khalistani separatists in UK making ludicrous demands on Pak's behest: Experts,"Govt. announces creation of dedicated defence, aerospace SME fund",PM Modi to inaugurate 10th edition of Defence Expo,"MKU, Thales jointly Develop optronic devices, close-quarter battle rifles for Indian Army","Cyient, BlueBird Aero Systems to offer UAV systems to Indian defence industry"
199,Aap Ke Aa Jane Se: Nidhi gets succesful in defaming Vedika ,Aap Ke Aa Jane Se: Sahil pushes Nidhi from stairs,Deepika Singh shares her beauty tips for summer ,Twarit: PM Modi to observe fast on April 12 over Parliament disruption,"Bharat Bandh: Section 144 imposed, shops remain closed in Meerut ","Saas Bahu Aur Saazish: Watch 11th April, 2018 full episode ",Saas Bahu Aur Saazish: Salman Khan caught in a new look 
200,Unnao Rape Case: SIT to inquire the murder case of victim's father  ,Unnao Rape Case: SIT to inquire the murder case of victim's father  ,"Unnao: Father of gang-rape victim beaten mercilessly, postmortem REVEALS horrific details","Unnao rape: Actions will be taken only after preliminary report, says DIG",Unnao Gangrape Case: Yogi seeks SIT report; Oppn demands accused MLA's arrest ,Unnao Gangrape: Victim claims Atul Sengar will kill her,Unnao rape: SIT to send report by today evening
201,"PhD student goes missing, family and friends launch search",Hyderabad: Infant dies during operation,"KCR to meet Deve Gowda, likely to discuss formation of third front",SM Krishna planning 'ghar wapsi' to Congress?,BJP MP castigates Siddaramaiah for 'ignoring' late Kargil hero,It takes 200 hours to become 'good friends' with someone,Girl set ablaze for resisting molestation
202,Jiji Maa: Suyash finds Falguni burried under ground ,Deepika Singh shares her beauty tips for summer ,Twarit: PM Modi to observe fast on April 12 over Parliament disruption,"Bharat Bandh: Section 144 imposed, shops remain closed in Meerut ","Saas Bahu Aur Saazish: Watch 11th April, 2018 full episode ",Saas Bahu Aur Saazish: Salman Khan caught in a new look ,Case to be registered against BJP MLA Kuldeep Sengar after SIT probe 
203,PM Modi to observe fast on Thursday to protest Parliament washout,PM Narendra Modi to observe day-long fast on April 12 against Parliament disruption,Maharashtra BJP MLA forget fast in front of sweets and sandwiches  ,PM to party leaders: Observe fast tomorrow to expose Opposition,Congress terms PM Modi's decision to hold fast 'farce',Twarit: PM Modi to observe fast on April 12 over Parliament disruption,"Congress questions PM's 'silence' over Unnao rape case, says time to repent, not to indulge in theatrics"
204,Unnao Rape Case: SIT to inquire the murder case of victim's father  ,Unnao Rape Case: SIT to inquire the murder case of victim's father  ,"Unnao: Father of gang-rape victim beaten mercilessly, postmortem REVEALS horrific details","Unnao rape: Actions will be taken only after preliminary report, says DIG",Unnao Gangrape Case: Yogi seeks SIT report; Oppn demands accused MLA's arrest ,Unnao Gangrape: Victim claims Atul Sengar will kill her,Unnao rape: SIT to send report by today evening
205,Samvidhan ki Shapath: Reservation based on caste or economic status? Watch big debate ,"Bharat Bandh 2.0 LIVE UPDATES: Centre advises states to beef up security, prevent violence","Bharat Bandh 2.0 LIVE UPDATES: Centre advises states to beef up security, prevent violence",Politics of Bharat Bandh and its consequences,"Bharat Bandh 2.0 LIVE UPDATES: Centre advises states to beef up security, prevent violence",Bharat Bandh 2.0 LIVE UPDATES: In Bihar's Arrah protesters have stopped a train,Politics of Bharat Bandh and its consequences
206,Rajasthan: Miscreants arrested for shooting at villagers using BJP vehicle,Former Navy officer found dead in his house,Sikar: 5 arrested for running IPL betting racket,Stealer of 500 vehicles finally arrested; Used to unlock cars in 20 seconds!,Students in Chhattisgarh village still await power supply,Unnao rape: SIT to send report by today evening,"Fire breaks out in Thane mall, cooling operation underway"
207,CWG' 18: Sachin Chaudhary bags bronze in para power lifting,"CWG 2018 Wrestling: Rahul Aware bags gold, Babita settles for silver",CWG is more athlete-centric now: Deepa Malik,"Young Mitharval wins his second bronze, earns podium in 50m pistol",The medal doesn't only belongs to me: Sushil on clinching CWG gold,Sidhu adds third gold to India's shooting kitty in CWG,Shreyasi claims gold to swell India's medals tally
208,'Don't vote for BJP'- Andhra Deputy CM,Centre never understood AP's issues: Nara Lokesh,Karnataka government is nothing but 'ATM' of corruption for Congress: Amit Shah,SM Krishna planning 'ghar wapsi' to Congress?,AP Board Class 12 (Inter) Result 2018: Andhra Pradesh Intermediate 2nd Year results will be declared tomorrow on bieap.gov.in and manabadi.com,AP Board Class 12 (Inter) Result 2018: Andhra Pradesh Intermediate 2nd Year results will be declared tomorrow on bieap.gov.in and manabadi.com,Check bieap.gov.in & manabadi.com for AP Board Class 12 (Inter) Result 2018: Andhra Pradesh Intermediate 2nd Year result to be out today
209,Indian dies in industrial accident in Southern Nepal,Youth exchange program enables deepening of Indo-Nepal ties,"32 killed in Himachal bus accident, CM announces ex-gratia","Man dies in Dubai, family requests govt for help",Gorakhpur: 6 die as car turns turtle,Kangra bus tragedy: No cultural programme for next 10 days in HP,"Kangra: 29 children died, 13 injured as school bus falls in ditch"
210,Pakistani journalist claims USA has imposed drastic restrictions on Pakistani diplomats in Washington DC,"The brewing diplomatic tussle between Pakistan, US",Ex-spy poisoning: Plane carrying expelled Russian diplomats reaches Moscow,"Militarism, militancy not good for Pakistan's future: Husain Haqqani",Pak army has mastered art of non-coup coup: Haqqani,"I'm Pakistani by birth, no one can take that away: Hussain Haqqani",Swamy calls Mehbooba Mufti 'beloved' of Pak
211,"For the love of India, woman disowns terrorist son",First trailer and posters of Alia Bhatt's film Raazi are out,Encounter underway in J-K's Kulgam,11 terrorists gunned down in separate encounters in Kashmir,UKPNP vows to continue fight for united Jammu and Kashmir,Kathua rape case: MLA switches off phone when asked for comments,Terrorists behind Lt. Ummer Fayaz's killing gunned down
212,Kangra bus tragedy: No cultural programme for next 10 days in HP,"32 killed in Himachal bus accident, CM announces ex-gratia","Kangra: 29 children died, 13 injured as school bus falls in ditch",Indore building collapse: Magisterial inquiry ordered,Indian dies in industrial accident in Southern Nepal,Indore building collapse: MP CM announces ex-gratia,Sachi Ghatna: Inside story of Indore building collapse
213,Charge sheet filed against 'honey-trapped' IAF officer in espionage case,"Master Stroke: Job on sale, Haryana SSC officials openly selling job  ",Unnao horror: 'Victim's father did not die in jail; will form SIT to probe' says ADG,Unnao horror: 'Victim's father did not die jail; will form SIT to probe' says ADG,Unnao horror: 'Victim's father did not die jail; will form SIT to probe' says ADG,Not enough evidence against rape accused BJP MLA Kuldeep Sengar: UP govt tells HC,Unnao gang-rape case: Cops arrest BJP MLA's brother Atul Singh Senger
214,Bharat Bandh: 127 protestors arrested in Bihar,"Rajdharma: Bihar badly affected during Bharat Bandh, CM Nitish Kumar government under question ",Bharat Bandh: Section 144 imposed in various parts of country,Bharat Bandh 2.0 LIVE UPDATES: Protests taking place in different districts of Bihar,Bharat Bandh 2.0 LIVE UPDATES: In Bihar's Arrah protesters have stopped a train,Bharat Bandh 2.0 LIVE UPDATES: Protests taking place in different districts of Bihar,Bharat Bandh 2.0 LIVE UPDATES: In Bihar's Arrah protesters have stopped a train
215,"Rajdharma: Bihar badly affected during Bharat Bandh, CM Nitish Kumar government under question ",Bharat Bandh: 127 protestors arrested in Bihar,Bharat Bandh: Over half a dozen of policemen injured in Bihar violence,Bharat Bandh 2.0 LIVE UPDATES: Protests taking place in different districts of Bihar,Bharat Bandh 2.0 LIVE UPDATES: Maximum protests reported from Bihar,Bharat Bandh 2.0 LIVE UPDATES: In Bihar's Arrah protesters have stopped a train,Bharat Bandh 2.0 LIVE UPDATES: Protests taking place in different districts of Bihar
216,ADR's report reveals BJP's income up by 81% in 2016-17,BJP richest political party of India: ADR,Ever wonder which is the richest political party in India?,"Box Office: 'ब्लैकमेल' से नहीं इंप्रेस हुए दर्शक, जानें- इरफान खान की इस फिल्म का कलेक्शन",Twarit: PM Modi to observe fast on April 12 over Parliament disruption,Amit Shah reaches Lucknow for the first time after defeat of BJP in UP bypolls,Kasganj: Woman and her son beaten up publicly for not paying Rs 100
217,2018 Yamaha YZF R15 V3.0 Unveiled With New Colour Schemes,Honda Reveals Plans For FY 2018-19,Volkswagen Tiguan Review,SWM Superdual T600 Showcased in India,Second-Gen Maruti Ertiga To Debut In Indonesia On April 19,2019 Lexus ES Leaked Ahead Of 2018 Beijing Auto Show Debut,Political quarrel after saffron BR Ambedkar statue in UP's Badaun painted back to blue
218,Passengers Swatting Mosquitoes In Jet Airways Flight,IndiGo offloads passenger after he expresses concern over mosquitoes on board,"Viral Sach FULL: Unnao rape victim's one year old video surfacing on internet, know the truth ",Viral Sach: Social media surfaces with video claiming BJP MLA Kuldeep Sengar innocent ,VIRAL SACH: Viral videos claim BJP MLA Kuldeep Singh Sengar is innocent?,VIRAL SACH: Viral videos claim BJP MLA Kuldeep Singh Sengar is innocent?,IndiGo offloads passenger after he expresses concern over mosquitoes on board
219,UP CM Yogi Adityanath cancels his Sonbhadra visit after a tribal MLA's protest ,"My life is in danger, accused MLA's brother Atul Sengar will kill me: Unnao rape victim",Woh Apna Sa: Jia fakes her marriage with Varun ,"People of Kairana feel safe under Yogi government, watch this exclusive report ",Case to be registered against BJP MLA Kuldeep Sengar after SIT probe ,Former CM of Uttarakhand Harish Rawat praises ABP News show Ghanti Bajao,Deepika Singh shares her beauty tips for summer 
220,IPL 2018: Chennai Super Kings to take on Kolkata Knight Riders on its home ground Chepauk,"Chennai: Shoes hurled during IPL match, 3 detained",IPL '18: Chennai's loss may become Pune's gain,Harbhajan Singh `heartbroken` over shifting of IPL matches from Chennai,IPL 2018: Cauvery dispute may lead to CSK's IPL matches being shifted from Chennai,IPL 2018: CSK’s home matches to be shifted out of Chennai due to Cauvery protests,CSK’s home matches to be shifted out of Chennai
221,Kawasaki Ninja 400 - Facts You Need To Know,SWM Superdual T600 Showcased in India,2018 Yamaha YZF R15 V3.0 Unveiled With New Colour Schemes,"Delhi: Diesel price touches an all-time high, Petrol highest in 4 Years","Delhi: Diesel price touches an all-time high, Petrol highest in 4 Years",iPhone fest on Amazon: Here are all the great deals in detail !,2019 Lexus ES Leaked Ahead Of 2018 Beijing Auto Show Debut
222,Faircent launches open API platform; invites developers to leverage tech infra,UPS opens integrated logistics facility in Ahmedabad,"Mojro raises $650K for efficient planning, optimisation of resources","Cyient, BlueBird Aero Systems to offer UAV systems to Indian defence industry",Manipur on entrepreneurship map with 'Made in Ukhrul' project,"Mahindra Electric, Zoomcar partner to offer self-drive EVs on rent","Soon, you'll be able to download your Insta posts"
223,SAM &amp; Co. advises Tata Chemicals in relation to acquisition of precipitated Silica Business of Allied Silica,SAM &amp; Co. advises Neev Fund on investment in Leap India Food and Logistics,"US, Russia clash at UNSC over probing chemical attacks in Syria",UPS opens integrated logistics facility in Ahmedabad,SBI adopts Odisha village for digital payments,Major decisions on Syria within 48 hours: Trump,West being unjustifiably adversarial towards us: Russian envoy in UN
224,BJP MP castigates Siddaramaiah for 'ignoring' late Kargil hero,Karnataka government is nothing but 'ATM' of corruption for Congress: Amit Shah,SM Krishna planning 'ghar wapsi' to Congress?,'Don't vote for BJP'- Andhra Deputy CM,PM Narendra Modi to observe day-long fast on April 12 against Parliament disruption,PM Modi to observe fast on Thursday to protest Parliament washout,Congress' 1st list for Karnataka assembly polls likely on Friday
225,This is how coffee can help you lose weight,"Flat white - a challenger to cappuccino, latte?",Coffee stamped safe by cancer experts,2018 Asia Cup moved out from India to UAE,Losing Weight can help counter sleep disorders,Menopausal therapy users end to less fat on abdomen,Thousands of flowers for one tiny bottle of Chanel
226,Ever wonder which is the richest political party in India?,BJP richest political party of India: ADR,ADR's report reveals BJP's income up by 81% in 2016-17,Retail inflation slows to 4.28 pc in March,"ICICI-Videocon case: 'There is no quid pro quo,' says Venugopal Dhoot","Cabinet approves revision of pay, allowances of LGs",SM Krishna planning 'ghar wapsi' to Congress?
227,Panchayat Polls: West Bengal EC revokes extended deadline for filing nomination,WB Panchayat Election: EC extends last date for filing nominations,Panchayat Polls: Calcutta HC directs state EC to file report,EC seeks powers to make election-related rules,Tripura CM holds crucial meeting to implement 7th Pay Commission,"Congress, CPI-M have ganged up with BJP for panchayat polls: Mamata",Pak EC temporarily freezes government appointments
228,2 year old salutes his father who martyred during Pak firing In Jammu & Kashmir's Sunderbani,Twarit Full: Two jawans martyred in ceasefire violation by Pakistan Army along LoC,J&K: Two jawans martyred in ceasefire violation by Pakistan Army along LoC,2 Army jawans killed in Pakistani shelling in J&K's Rajouri,Construction of 102 bunkers completed in Rajouri to save villagers from Pak hostilities,Twarit: PM Modi to observe fast on April 12 over Parliament disruption,Deepika Singh shares her beauty tips for summer 
229,"CEC OP Rawat says, there are problems in conducting simultaneous polls of LS and other bodies ",Simultaneous polls: Here's what CEC OP Rawat has to say about it,Former CM of Uttarakhand Harish Rawat praises ABP News show Ghanti Bajao,"Uttarakhand Shikhar Sammelan: BJP govt is good for nothing when it comes to work, says Harish Rawat",Deepika Singh shares her beauty tips for summer ,Twarit: PM Modi to observe fast on April 12 over Parliament disruption,"Bharat Bandh: Section 144 imposed, shops remain closed in Meerut "
230,Manipur on entrepreneurship map with 'Made in Ukhrul' project,Faircent launches open API platform; invites developers to leverage tech infra,Follow these platforms if you are an emerging fashion designer,UPS opens integrated logistics facility in Ahmedabad,Reduce inequalities to resolve India's environment challenges: Experts,Chennai's Integral Coach Factory records new-high; builds 2503 coaches in 2017-18,"DefExpo 2018: PM aims to transform defence production, procurement"
231,It takes 200 hours to become 'good friends' with someone,Is Internet addiction real?,"Data breach: Before senate hearing, Zuckerberg posts a Facebook message",SBS FULL: Sahil and Varun are best friends now,Turn your hobbies into part-time job opportunities with these apps,Facebook starts alerting users if their data was shared with Cambridge Analytica; Here is how you can check,"PhD student goes missing, family and friends launch search"
232,AASA organises its 10th 'Bohagi Utsav',"Logo, website of 11th World Hindi Conference launched","DU student beaten up, targeted for being 'UP-Bihar wala'",Melania Trump comforts student who spilled water at event,Kangra bus tragedy: No cultural programme for next 10 days in HP,Bangladesh: 100 injured in clashes during massive students' protest,Youth exchange program enables deepening of Indo-Nepal ties
233,Aaj Ka Arjun: Aaj Ka Arjun: PM Narendra Modi's address from Champaran a step towards mission 2019 ,PM Modi lauds Bihar Govt. on successful Swachhagraha campaign,"FULL SPEECH: Champaran: PM praises Nitish, vows to fulfil Mahatma's sanitation dream  ",Modi in Bihar to attend Champaran Satyagraha celebrations,PM Modi to be a part of concluding celebration of Champaran Satyagraha centenary,Rajdharma: BJP govt. contradicting itself with fast against Parliament disruption,'Fast' politics: PM Modi to observe fast today; BJP parliamentarians to follow suit all over India
234,"Mulayam backs son Akhilesh's decision, hails SP-BSP alliance",Samajwadi Party to support BSP candidate in upcoming Legislative Council elections: Akhilesh Yadav,Samajwadi Party to support BSP candidate in upcoming Legislative Council elections: Akhilesh Yadav,SP to support BSP candidate in UP Legislative Council elections,Simultaneous polls: Here's what CEC OP Rawat has to say about it,Congress' 1st list for Karnataka assembly polls likely on Friday,Congress' 1st list for Karnataka assembly polls likely on Friday
235,Centre excluding Opposition from Lokpal selection process: Kharge,PM to party leaders: Observe fast tomorrow to expose Opposition,Congress terms PM Modi's decision to hold fast 'farce',Centre never understood AP's issues: Nara Lokesh,Aaj Ka Arjun: Aaj Ka Arjun: PM Narendra Modi's address from Champaran a step towards mission 2019 ,Karnataka government is nothing but 'ATM' of corruption for Congress: Amit Shah,"FULL SPEECH: Champaran: PM praises Nitish, vows to fulfil Mahatma's sanitation dream  "
236,Delhi: Man involved in 400 robbery cases arrested,Stealer of 500 vehicles finally arrested; Used to unlock cars in 20 seconds!,UP government denies of having proof against BJP MLA Kuldeep Sengar ,Not enough evidence against rape accused BJP MLA Kuldeep Sengar: UP govt tells HC,Not enough evidence against rape accused BJP MLA Kuldeep Sengar: UP govt tells HC,Not enough evidence against rape accused BJP MLA Kuldeep Sengar: UP govt tells HC,Not enough evidence against rape accused BJP MLA Kuldeep Sengar: UP govt tells HC
237,CWG' 18: Indian women's hockey team through to semis,India have improved since first CWG match against Pak: hockey coach,"CWG 2018: Shuttlers Nehwal, Sindhu storm into pre-quarters","Steyn reveals comeback plan, likely to join Hampshire",Hockey India congratulates Mandeep Singh on completing 100 international caps,Surrey sign retired Morkel on two-year deal,"CWG 2018: Shuttlers Sindhu, Srikanth ease into quarters"
238,"Amid marriage preparations of Tej Pratap Yadav, CBI questions Rabri Devi in IRCTC hotel scam",All RJD MLAs to give up security as Rabri's cover downgraded,All RJD MLAs to give up security as Rabri's cover downgraded,"Security for Rabri Devi not pulled, says Bihar ADG","Kaun Jitega 2019: Will hold Home Ministry responsible for any untoward incident, says Rabri Devi",Modi in Bihar to attend Champaran Satyagraha celebrations,Security at Lalu Yadav's residence revoked; Rabri calls it 'conspiracy to kill my family'
239,Political quarrel after saffron BR Ambedkar statue in UP's Badaun painted back to blue,UP: BSP leader re-colours Ambedkar statue 'blue' after it was earlier repaired & painted 'saffron',"Badaun,UP: BSP leader re-paints Ambedkar statue 'blue' after it was earlier repaired & painted 'saffron'","Badaun,UP: BSP leader re-colours Ambedkar statue 'blue' after it was earlier repaired & painted 'saffron'","Badaun,UP: BSP leader re-paints Ambedkar statue 'blue' after it was earlier repaired & painted 'saffron'",Ambedkar statue 'caged' in UP,Ambedkar statue locked in iron cage in UP
240,2018 Asia Cup moved out from India to UAE,"CPEC would enable connectivity in Asia, says Abbasi",Pak army has mastered art of non-coup coup: Haqqani,Pak to not undermine inexperienced Windies: Sarfraz Ahmed,"Militarism, militancy not good for Pakistan's future: Husain Haqqani",Aussies to tour Zimbabwe for T20I tri-series,`BCCI should decide on holding of IPL matches in Chennai`
241,"After IndiGo, Jet Airways opts out of Air India bid",IndiGo offloads passenger after he expresses concern over mosquitoes on board,Facebook breach: Indians weigh in on data protection,IndiGo offloads passenger after he expresses concern over mosquitoes on board,IndiGo offloads passenger after he expresses concern over mosquitoes on board,Was held by collar and dragged through aisle: IndiGo passenger,Centre excluding Opposition from Lokpal selection process: Kharge
242,Rock valued Rs 11 Lakh stolen from Toronto Museum,Delhi: Man involved in 400 robbery cases arrested,Actors Richa Chadha and Ali Fazal give cute couple goals,Not enough evidence against rape accused BJP MLA Kuldeep Sengar: UP govt tells HC,Stealer of 500 vehicles finally arrested; Used to unlock cars in 20 seconds!,"Unnao rape: Accused BJP MLA's brother, three others arrested",Unnao horror: 'Victim's father did not die in jail; will form SIT to probe' says ADG
243,"Ramdev meets Nizamabad MP, hints support to third front","KCR to meet Deve Gowda, likely to discuss formation of third front",Kodandaram's party gets green signal,Master Stroke Full: Farmers suicide cases to touch 2000 after Maharashtra govt announces loan waiver ,Centre never understood AP's issues: Nara Lokesh,"Uttarakhand Shikhar Sammelan: BJP govt is good for nothing when it comes to work, says Harish Rawat","Nursery student thrashed for not paying fees, 3 arrested"
244,Unnao rape case: Accused BJP MLA's brother sent to jail,"Unnao rape: Accused BJP MLA's brother, three others arrested",Unnao rape: FIR registered against accused BJP MLA,Allahabad HC takes suo-moto cognizance of Unnao rape case,"Unnao rape: Actions will be taken only after preliminary report, says DIG",Unnao rape: SIT to send report by today evening,Caught in serious rape allegations but BJP MLA shows no shame
245,"Delhi Police busts international drug racket, recovers heroin worth Rs 125 crore","SRS chairman, others sent to 3-day police remand",Eight militants killed in Afghanistan,"CBSE paper leak: 2 teachers, 1 coaching centre owner held",Fire breaks out in Delhi's jewellery shop,Pak army has mastered art of non-coup coup: Haqqani,Delhi: Man involved in 400 robbery cases arrested
246,Aadhaar not necessary for pensioners to submit life certificate: EPFO,SBI adopts Odisha village for digital payments,Now Transgenders to get PAN card under 'Independent' gender category,Facebook breach: Indians weigh in on data protection,Sachin Gupte appointed HR Head of Standard Chartered India,GuruJi With Pawan Sinha: Correct decisions will help you turn your destiny for good,WBJEE Admit Card 2018: Here is how to download
247,IPL: Ish Sodhi replaces injured Zahir Khan for RR,IPL 2018: कावेरी विवाद के चलते चेन्नई से छीन सकते हैं IPL के मैच,England take charge on Day 3 of Christchurch Test,IPLT20: Sunrisers Hyderabad defeat Rajasthan Royals by 9 wickets,"Schutt tops among T20I bowlers, Yadav takes 5th spot",IPL '18: Chennai's loss may become Pune's gain,IPL 2018: Delhi Daredevils lost the game due to THIS REASON
248,Telangana CM wants comprehensive plan for infra development at Singareni Mining areas,Master Stroke: 'Illegal Mining' continues in Sonbhadra under CM Adityanath's regime ,"Trump freezes $200 mn in Syrian recovery funds, suggesting exit","KCR to meet Deve Gowda, likely to discuss formation of third front",'Family of journos who die on duty to get Rs 4 lakh',PM Modi lauds Bihar Govt. on successful Swachhagraha campaign,"States, Centre lock horns over 15th Finance Commission ToR "
