,Title,1_Similar,2_Similar,3_Similar,4_Similar,5_Similar,6_Similar
667,Kamal Hassan makes video message for PM Narendra Modi,Kamal Hassan makes video message for PM Narendra Modi,Viral Sach: Social media surfaces with video claiming BJP MLA Kuldeep Sengar innocent ,VIRAL SACH: Viral videos claim BJP MLA Kuldeep Singh Sengar is innocent?,VIRAL SACH: Viral videos claim BJP MLA Kuldeep Singh Sengar is innocent?,PM Modi arrives in Chennai amid black flag protests,Someone hacked and deleted ‘Despacito’ video: Know why!
668,International-level Tribal athletes to meet PM Modi on April 14,CWG is more athlete-centric now: Deepa Malik,Srikanth becomes World No. 1,Congress terms PM Modi's decision to hold fast 'farce',Tripura CM holds crucial meeting to implement 7th Pay Commission,Priyam Tated wins Gold medal in Cambodia Open National Figure Skating Championship 2018,SM Krishna planning 'ghar wapsi' to Congress?
669,Sachi Ghatna: Has UP government surrendered before rape accused? watch this report ,"Samvidhan ki Shapath: No evidence against Kuldeep Sengar, says Yogi government instead of acting swiftly ",Yogi government withdraws rape case against ex Union Minister Swami Chinmayanand,Yogi Adityanath govt decides to withdraw rape case against Swami Chinmayanand,Yogi Adityanath govt decides to withdraw rape case against Swami Chinmayanand,UP government withdraws rape case against Swami Chinmayanand: Here are some facts about ex Union Minister,UP government withdraws rape case against Swami Chinmayanand: Here are some facts about ex Union Minister
670,Bareilly: Youth clings to bonnet of BDO's car  ,Master Stroke: Bareilly youth clings to BDO's car bonnet for four kilometers ,"I stole the keys of my dad's car, REVEALS Rohit Shetty during announcement of 'Little Singham'",Unnao Gangrape: When BJP MLA Kuldeep Singh Sengar faked his surrender,Twarit: PM Modi to observe fast on April 12 over Parliament disruption,Bharat Bandh by Sawarns: Protests erupt in Bihar," Unnao gang rape case: SIT reaches at victim's village, begins probe"
671,2019 Lexus ES Leaked Ahead Of 2018 Beijing Auto Show Debut,Volkswagen Tiguan Review,Second-Gen Maruti Ertiga To Debut In Indonesia On April 19,New Suzuki Jimny Global Debut Likely In Late-2018; Could Replace Gypsy In India,Next Generation Mahindra Scorpio and XUV500 Coming Before 2020,"VW Confirms Sub-4m Crossover That Could Rival WRV, Nexon In India",SWM Superdual T600 Showcased in India
672,VIDEO: Instagram star documents her last ride before a deadly plane crash,Algeria: 257 people killed in a deadly plane crash ,100 soldiers killed in Algeria plane crash ,Viral Sach: Social media surfaces with video claiming BJP MLA Kuldeep Sengar innocent ,VIRAL SACH: Viral videos claim BJP MLA Kuldeep Singh Sengar is innocent?,VIRAL SACH: Viral videos claim BJP MLA Kuldeep Singh Sengar is innocent?,"Viral Sach FULL: Unnao rape victim's one year old video surfacing on internet, know the truth "
673,"Sushma Swaraj to visit China, Mongolia","Don't hype boundary row, work with us: China to India",VK Singh to leave for Iraq to bring back bodies of 39 Indians,"CPEC would enable connectivity in Asia, says Abbasi",President Xi unveils China's economic plans at Boao Forum,"Man dies in Dubai, family requests govt for help","Logo, website of 11th World Hindi Conference launched"
674,BJP National President Amit Shah once again attacks Rahul Gandhi from Karnataka's Dharwad ,Amit Shah reaches Lucknow for the first time after defeat of BJP in UP bypolls,Rajdharma: BJP govt. contradicting itself with fast against Parliament disruption,Twarit: PM Modi to observe fast on April 12 over Parliament disruption,Maharashtra BJP MLA forget fast in front of sweets and sandwiches  ,"Master Stroke Full: Fast becomes a powerful protest tool for political leaders, know why ",Karnataka government is nothing but 'ATM' of corruption for Congress: Amit Shah
675,"IPL 2018: Virat Kohli, Mithali Raj named as Wisden’s men's and women's cricketers of the year",IPL 2018: Cauvery dispute may lead to CSK's IPL matches being shifted from Chennai,Deepika Singh shares her beauty tips for summer ,"Master Stroke: Incidents of rape increases in country in past 10 year, revealed in this report ",Saas Bahu Aur Saazish: Kumkum Bhagya takes a seven year leap ,Twarit: PM Modi to observe fast on April 12 over Parliament disruption,Saas Bahu Aur Saazish: Salman Khan caught in a new look 
676,"In Pictures: ""Go Back Modi,"" Cry Reigns High, Black Flag Stir Across TN",In Pics: This is how Algerian military flight turned into the worst air disaster,In Pics: Bangladesh witnesses decade's biggest protest staged by students,In Pics: The Enthralling Launch Of ISRO's Navigation Satellite IRNSS-1I,"Black flags protest continues, 'Modi go back' chants echo in TN",Ghanti Bajao: China tries to take over India's 'Finger Number 4' time and again,Modi arrives in TN amid Cauvery row
677,NDMA corruption: Delhi HC directs MHA to file response,Woman filed molestation complaint against DSGMC members,Ask Nirav Modi to return to India: Delhi HC to Firestar diamonds,"Unnao rape: Actions will be taken only after preliminary report, says DIG",UP assures fair probe against MLA accused of rape,Allahabad HC takes suo-moto cognizance of Unnao rape case,Not enough evidence against rape accused BJP MLA Kuldeep Sengar: UP govt tells HC
678,Manipur Minister launches drive against illegal timber business,UP: Residents of Van Tangia bemoan lack of amenities,Kathua chargesheet: 8-year-old raped again before being stoned to death,"1,156 flying squads, 1,255 static surveillance teams deployed in poll-bound K'taka",Students in Chhattisgarh village still await power supply,North East forum will solve interstate problems: Niti Aayog VC,'Family of journos who die on duty to get Rs 4 lakh'
679,India against use of chemical weapons: MEA,Ex-spy poisoning: Plane carrying expelled Russian diplomats reaches Moscow,Major decisions on Syria within 48 hours: Trump,"US, Russia clash at UNSC over probing chemical attacks in Syria",Trump lauds US administration for handling IS in Syria,"Sushma Swaraj to visit China, Mongolia",Trump to decide in next 24-48 hours on action against Syrian Chemical Attack suspects
680,"People of Kairana feel safe under Yogi government, watch this exclusive report ",Deepika Singh shares her beauty tips for summer ,Twarit: PM Modi to observe fast on April 12 over Parliament disruption,Saas Bahu Aur Saazish: Salman Khan caught in a new look ,"Bharat Bandh: Section 144 imposed, shops remain closed in Meerut ",Viral Sach: Government school students caught speaking fluent English,"Saas Bahu Aur Saazish: Watch 11th April, 2018 full episode "
681,Construction of 102 bunkers completed in Rajouri to save villagers from Pak hostilities,2 year old salutes his father who martyred during Pak firing In Jammu & Kashmir's Sunderbani,Twarit Full: Two jawans martyred in ceasefire violation by Pakistan Army along LoC,J&K: Two jawans martyred in ceasefire violation by Pakistan Army along LoC,Rishta Likhenge Hum Naya: Diya answers people questioning Ratan for not completing his project  ,"J&K: One jawan martyred, terrorists trapped during Kulgam encounter",Sansani: Why was Siddharth Sagar MISSING; Here is the COMPLETE STORY
682,Viral Sach: Government school students caught speaking fluent English,"Viral Sach FULL: Unnao rape victim's one year old video surfacing on internet, know the truth ",Viral Sach: Social media surfaces with video claiming BJP MLA Kuldeep Sengar innocent ,"Unnao: Even after father's death govt. is asking question to us, says victim's sister in tears",Deepika Singh shares her beauty tips for summer ,Unnao Rape Case: CBI to decide Kuldeep Sengar's arrest even after FIR registered under POCSO act,"People of Kairana feel safe under Yogi government, watch this exclusive report "
683,Rape accused BJP MLA Kuldeep Senagr's terror in Unnao's village Makhi,GROUND REPORT from Kuldeep Sengar's village Makhi: Residents are too scared to talk,Kuldeep Singh Sengar must be arrested immediately after FIR register under POCSO Act,Some anarchic people are trying to defame my husband: Kuldeep Sengar's wife Sangeeta Sengar,Unnao Gangrape: BJP MLA Kuldeep Singh Sengar's brother arrested,Unnao Gangrape: FIR registered against woman named Shashi Singh too,Know all the accused of Unnao gang rape case
684,"Retail inflation at 4.28 %, Industrial output grows 7.1 %","India to grow by 7.3% in FY'18, 7.6% in FY'19",UPS opens integrated logistics facility in Ahmedabad,Facebook breach: Indians weigh in on data protection,Retail inflation slows to 4.28 pc in March,Honda Reveals Plans For FY 2018-19,"States, Centre lock horns over 15th Finance Commission ToR "
685,Maharashtra BJP MLA forget fast in front of sweets and sandwiches  ,PM Modi to observe fast on Thursday to protest Parliament washout,PM Narendra Modi to observe day-long fast on April 12 against Parliament disruption,Twarit: PM Modi to observe fast on April 12 over Parliament disruption,'Fast' politics: PM Modi to observe fast today; BJP parliamentarians to follow suit all over India,Rajdharma: BJP govt. contradicting itself with fast against Parliament disruption,"Master Stroke Full: Fast becomes a powerful protest tool for political leaders, know why "
686,"BJP MLA Surendra Singh says, 2019 elections will be 'God Vs Islam'","Unnao: It is conspiracy against Sengar, says BJP's Surendra Singh after insensitive remarks on rape ","SHAMEFUL statement by BJP MLA Surendra Singh, says 'Who rapes a mother of three'",Kuldeep Singh Sengar must be arrested immediately after FIR register under POCSO Act,"I am in Lucknow and ready for arrest, says accused BJP MLA Kuldeep Sengar",Unnao Rape: FULL PC: Kuldeep Sengar deserves respect as he is not convict as yet: DGP,GROUND REPORT from Kuldeep Sengar's village Makhi: Residents are too scared to talk
687,"NHRC notice to I&amp;B Ministry, Telangana Govt over Telugu actress strip case","Rana Daggubati's brother Abhiram sexually exploited me, reveals actress Sri Reddy","Rana Daggubati's brother Abhiram sexually exploited me, reveals actress Sri Reddy","Rana Daggubati's brother Abhiram sexually exploited me, reveals actress Sri Reddy","Rana Daggubati's brother Abhiram sexually exploited me, reveals actress Sri Reddy","Rana Daggubati's brother Abhiram sexually exploited me, reveals actress Sri Reddy",Panchayat Polls: West Bengal EC revokes extended deadline for filing nomination
688,No Class 10 Maths re-test after scientific evaluation: CBSE to HC,"CBSE paper leaks case: 3, including 2 teachers arrested","CBSE paper leaks case: 3, including 2 teachers arrested","CBSE paper leaks case: 3, including 2 teachers arrested","CBSE paper leaks case: 3, including 2 teachers arrested",CBSE paper leak: Board suspends official for lax supervision,HRD constitutes team to prevent exam paper leaks
689,"Congress questions PM's 'silence' over Unnao rape case, says time to repent, not to indulge in theatrics",Congress terms PM Modi's decision to hold fast 'farce',PM to party leaders: Observe fast tomorrow to expose Opposition,PM Narendra Modi to observe day-long fast on April 12 against Parliament disruption,PM Modi to observe fast on Thursday to protest Parliament washout,"Modi’s ‘fast’ over parliament disruption, ‘farce’ for Congress","Hope PM Modi will observe fast on Unnao incident, says Rahul Gandhi"
690,"Master Stroke: Yavatmal farmer commits suicide, blames PM Modi in suicide note  ",Debt-ridden farmer commits suicide,Master Stroke Full: Farmers suicide cases to touch 2000 after Maharashtra govt announces loan waiver ,Twarit: PM Modi to observe fast on April 12 over Parliament disruption,Case to be registered against BJP MLA Kuldeep Sengar after SIT probe ,"Unnao: Even after father's death govt. is asking question to us, says victim's sister in tears",'Fast' politics: PM Modi to observe fast today; BJP parliamentarians to follow suit all over India
691,"Master Stroke: Job on sale, Haryana SSC officials openly selling job  ",Deepika Singh shares her beauty tips for summer ,GuruJi With Pawan Sinha: Watch this episode if your promotion is stuck,Bharat Bandh by Sawarns: Protests erupt in Bihar,Twarit: PM Modi to observe fast on April 12 over Parliament disruption,Why did Sawarns call for Bharat Bandh?,Saas Bahu Aur Saazish: Salman Khan caught in a new look 
692,Audio Bulletin: UP govt hands over Unnao gang rape case to CBI," Unnao gang rape case: SIT reaches at victim's village, begins probe","Unnao: Even after father's death govt. is asking question to us, says victim's sister in tears",Allahabad High Court takes cognizance of Unnao Gang-rape case  ,Unnao Rape Case: CBI to decide Kuldeep Sengar's arrest even after FIR registered under POCSO act,Case to be registered against BJP MLA Kuldeep Sengar after SIT probe ,Security at Lalu Yadav's residence revoked; Rabri calls it 'conspiracy to kill my family'
693,Viral Sach: Social media surfaces with video claiming BJP MLA Kuldeep Sengar innocent ,"Viral Sach FULL: Unnao rape victim's one year old video surfacing on internet, know the truth ",VIRAL SACH: Viral videos claim BJP MLA Kuldeep Singh Sengar is innocent?,VIRAL SACH: Viral videos claim BJP MLA Kuldeep Singh Sengar is innocent?,Viral Sach: Government school students caught speaking fluent English,Case to be registered against BJP MLA Kuldeep Sengar after SIT probe ,Unnao Gangrape: Last video of victim's father before his death
694,Second-Gen Maruti Ertiga To Debut In Indonesia On April 19,New Suzuki Jimny Global Debut Likely In Late-2018; Could Replace Gypsy In India,2019 Lexus ES Leaked Ahead Of 2018 Beijing Auto Show Debut,Volkswagen Tiguan Review,Next Generation Mahindra Scorpio and XUV500 Coming Before 2020,2018 Yamaha YZF R15 V3.0 Unveiled With New Colour Schemes,"Delhi: Diesel price touches an all-time high, Petrol highest in 4 Years"
695,Ambedkar statue locked in iron cage in UP,Ambedkar statue 'caged' in UP,"Badaun,UP: BSP leader re-paints Ambedkar statue 'blue' after it was earlier repaired & painted 'saffron'","Badaun,UP: BSP leader re-paints Ambedkar statue 'blue' after it was earlier repaired & painted 'saffron'","Badaun,UP: BSP leader re-colours Ambedkar statue 'blue' after it was earlier repaired & painted 'saffron'",Political quarrel after saffron BR Ambedkar statue in UP's Badaun painted back to blue,UP: BSP leader re-colours Ambedkar statue 'blue' after it was earlier repaired & painted 'saffron'
696,"Viral Sach FULL: Unnao rape victim's one year old video surfacing on internet, know the truth ",Viral Sach: Social media surfaces with video claiming BJP MLA Kuldeep Sengar innocent ,"Master Stroke: Incidents of rape increases in country in past 10 year, revealed in this report ",VIRAL SACH: Viral videos claim BJP MLA Kuldeep Singh Sengar is innocent?,VIRAL SACH: Viral videos claim BJP MLA Kuldeep Singh Sengar is innocent?,Viral Sach: Government school students caught speaking fluent English," Unnao gang rape case: SIT reaches at victim's village, begins probe"
697,VIRAL SACH: Viral videos claim BJP MLA Kuldeep Singh Sengar is innocent?,VIRAL SACH: Viral videos claim BJP MLA Kuldeep Singh Sengar is innocent?,Viral Sach: Social media surfaces with video claiming BJP MLA Kuldeep Sengar innocent ,"Viral Sach FULL: Unnao rape victim's one year old video surfacing on internet, know the truth ",Unnao case: Rape accused BJP MLA's alleged phone call to victim's family goes viral,"Unnao SHOCKER: Another BJP MLA’s insensitive remark, says 'who would rape a mother of 3?'",VIRAL SACH: Did policemen disrespect the national anthem for food ?
698,Ghanti Bajao: No difference in government clinic and cattle rearing farm in Madhya Pradesh ,Master Stroke: Bikaner to apply odd-even scheme on water supply ,"Master Stroke: Incidents of rape increases in country in past 10 year, revealed in this report ",Ghanti Bajao: 'Operation 8 November' exposes racket dealing in denominated currency,"People of Kairana feel safe under Yogi government, watch this exclusive report ","Viral Sach FULL: Unnao rape victim's one year old video surfacing on internet, know the truth ","Saas Bahu Aur Saazish: Watch 11th April, 2018 full episode "
699,Ambedkar statue 'caged' in UP,"Badaun,UP: BSP leader re-paints Ambedkar statue 'blue' after it was earlier repaired & painted 'saffron'","Badaun,UP: BSP leader re-paints Ambedkar statue 'blue' after it was earlier repaired & painted 'saffron'","Badaun,UP: BSP leader re-colours Ambedkar statue 'blue' after it was earlier repaired & painted 'saffron'",Ambedkar statue locked in iron cage in UP,Political quarrel after saffron BR Ambedkar statue in UP's Badaun painted back to blue,UP: BSP leader re-colours Ambedkar statue 'blue' after it was earlier repaired & painted 'saffron'
700,Master Stroke: Bareilly youth clings to BDO's car bonnet for four kilometers ,Bareilly: Youth clings to bonnet of BDO's car  ,Youth exchange program enables deepening of Indo-Nepal ties,Rajasthan: 6 vehicles vandalised as communal riots break out in Pali,Ghanti Bajao Full: Is Modi govt really providing 3 crore youth with employment under Mudra Yojana?,Deepika Singh shares her beauty tips for summer ,"I stole the keys of my dad's car, REVEALS Rohit Shetty during announcement of 'Little Singham'"
701,Centre never understood AP's issues: Nara Lokesh,'Don't vote for BJP'- Andhra Deputy CM,Congress terms PM Modi's decision to hold fast 'farce',PM to party leaders: Observe fast tomorrow to expose Opposition,Rajdharma: BJP govt. contradicting itself with fast against Parliament disruption,"Modi’s ‘fast’ over parliament disruption, ‘farce’ for Congress","Congress questions PM's 'silence' over Unnao rape case, says time to repent, not to indulge in theatrics"
702,VIRAL SACH: Viral videos claim BJP MLA Kuldeep Singh Sengar is innocent?,VIRAL SACH: Viral videos claim BJP MLA Kuldeep Singh Sengar is innocent?,Viral Sach: Social media surfaces with video claiming BJP MLA Kuldeep Sengar innocent ,"Viral Sach FULL: Unnao rape victim's one year old video surfacing on internet, know the truth ",Unnao case: Rape accused BJP MLA's alleged phone call to victim's family goes viral,"Unnao SHOCKER: Another BJP MLA’s insensitive remark, says 'who would rape a mother of 3?'",VIRAL SACH: Did policemen disrespect the national anthem for food ?
703,Master Stroke: Fraud account holders steal Rs 250 crore in Western UP ,"Master Stroke: Incidents of rape increases in country in past 10 year, revealed in this report ","Saas Bahu Aur Saazish: Watch 11th April, 2018 full episode ","Saas Bahu Aur Saazish: Watch full episode 12th April, 2018 ","Saas Bahu Aur Saazish: Watch 10th April, 2018n full episode ",Case to be registered against BJP MLA Kuldeep Sengar after SIT probe ,Deepika Singh shares her beauty tips for summer 
704,Centre okays CBI probe in Unnao rape case,Not enough evidence against rape accused BJP MLA Kuldeep Sengar: UP govt tells HC,Not enough evidence against rape accused BJP MLA Kuldeep Sengar: UP govt tells HC,Not enough evidence against rape accused BJP MLA Kuldeep Sengar: UP govt tells HC,Not enough evidence against rape accused BJP MLA Kuldeep Sengar: UP govt tells HC,Not enough evidence against rape accused BJP MLA Kuldeep Sengar: UP govt tells HC,"Samvidhan ki Shapath: No evidence against Kuldeep Sengar, says Yogi government instead of acting swiftly "
705,BJP Uttrakhand leader breaks fast,PM to party leaders: Observe fast tomorrow to expose Opposition,Congress terms PM Modi's decision to hold fast 'farce',PM Modi to observe fast on Thursday to protest Parliament washout,PM Narendra Modi to observe day-long fast on April 12 against Parliament disruption,Twarit: PM Modi to observe fast on April 12 over Parliament disruption,Rajdharma: BJP govt. contradicting itself with fast against Parliament disruption
706,Master Stroke: Shiv Sena protests against Maharashtra government's Refinery project in Ratnagiri,Master Stroke: Petrochemical project to replace Ratnagiri's famous Hapus mango farm land ,Ghanti Bajao: No difference in government clinic and cattle rearing farm in Madhya Pradesh ,"Bharat Bandh: Section 144 imposed, shops remain closed in Meerut ","Fadnavis, Piyush Goyal perform 'bhoomi pujan' of Latur rail coach factory",Fadnavis reviews progress of Jalyukt Shivar Abhiyan via video conferencing,Twarit: PM Modi to observe fast on April 12 over Parliament disruption
707,Master Stroke: PM's Research Fellowship Scheme fails to serve its objective ,Viral Sach: Government school students caught speaking fluent English,Case to be registered against BJP MLA Kuldeep Sengar after SIT probe ,"PM praises former IAS officer Parmeshwar, 'He returned from America for Swachh Abhiyan'",Deepika Singh shares her beauty tips for summer ,"People of Kairana feel safe under Yogi government, watch this exclusive report ",Twarit: PM Modi to observe fast on April 12 over Parliament disruption
708,Four IS militants killed in Afghanistan,Eight militants killed in Afghanistan,J&K: Two militants killed in separate encounters in Kashmir,"J&K: 8 terrorists gunned down , one nabbed alive in army's biggest anti-militancy operations",27 Taliban militants killed in Afghanistan,"J&K: 8 militants killed, 2 jawans martyred in anti-terror operations",Deadpool actor arrested for reporting false bomb threat in train
709,Master Stroke: Bikaner to apply odd-even scheme on water supply ,"Saas Bahu Aur Saazish: Watch 11th April, 2018 full episode ",Ghanti Bajao: No difference in government clinic and cattle rearing farm in Madhya Pradesh ,"Saas Bahu Aur Saazish: Watch full episode 12th April, 2018 ","Unnao: Even after father's death govt. is asking question to us, says victim's sister in tears","Viral Sach FULL: Unnao rape victim's one year old video surfacing on internet, know the truth ","Master Stroke: Incidents of rape increases in country in past 10 year, revealed in this report "
710,Uber aims to reduce traffic &amp; congestion with 'Movement',Facebook starts alerting users if their data was shared with Cambridge Analytica; Here is how you can check,Mark Zuckerberg says his data also harvested and sold by Cambridge Analytica,"Mahindra Electric, Zoomcar partner to offer self-drive EVs on rent","Soon, you'll be able to download your Insta posts","'My mistake, I'm sorry' - Zuckerberg's testimony ahead of the hearing before senators",My data was exposed in Cambridge Analytica leak: Zuckerberg
711,Maharashtra civic polls: BJP bags 4 out of 6 local bodies,SP to support BSP candidate in UP Legislative Council elections,"Congress, CPI-M have ganged up with BJP for panchayat polls: Mamata",Congress terms PM Modi's decision to hold fast 'farce',BJP richest political party of India: ADR,"Madhya Pradesh: 10 die, many feared stuck in debris as hotel's building collapses",SM Krishna planning 'ghar wapsi' to Congress?
712,EC seeks powers to make election-related rules,Panchayat Polls: West Bengal EC revokes extended deadline for filing nomination,Simultaneous polls: Here's what CEC OP Rawat has to say about it,"Committed to ensure integrity of elections in India, other countries : Mark Zuckerberg",Panchayat Polls: Calcutta HC directs state EC to file report,"1,156 flying squads, 1,255 static surveillance teams deployed in poll-bound K'taka",Pak EC temporarily freezes government appointments
713,"Master Stroke: Incidents of rape increases in country in past 10 year, revealed in this report ","Viral Sach FULL: Unnao rape victim's one year old video surfacing on internet, know the truth ","Saas Bahu Aur Saazish: Watch 11th April, 2018 full episode ","Saas Bahu Aur Saazish: Watch full episode 12th April, 2018 ","Saas Bahu Aur Saazish: Watch 10th April, 2018n full episode ",Deepika Singh shares her beauty tips for summer ," Unnao gang rape case: SIT reaches at victim's village, begins probe"
714,"KCR to meet Deve Gowda, likely to discuss formation of third front","Ramdev meets Nizamabad MP, hints support to third front",Kodandaram's party gets green signal,Panchayat Polls: West Bengal EC revokes extended deadline for filing nomination,Rahul Gandhi goes for low-level politics; his tweets are insensitive: Anil Baluni,Congress' 1st list for Karnataka assembly polls likely on Friday,Congress' 1st list for Karnataka assembly polls likely on Friday
715,Master Stroke Full: Farmers suicide cases to touch 2000 after Maharashtra govt announces loan waiver ,"Master Stroke: Yavatmal farmer commits suicide, blames PM Modi in suicide note  ",Debt-ridden farmer commits suicide,PM Modi to be a part of concluding celebration of Champaran Satyagraha centenary,Audio Bulletin: UP govt hands over Unnao gang rape case to CBI,"Unnao: Even after father's death govt. is asking question to us, says victim's sister in tears"," Unnao gang rape case: SIT reaches at victim's village, begins probe"
716,"Daily Horoscope with Pawan Sinha: Here is prediction for the day, April 12","Daily Horoscope with Pawan Sinha: Here is prediction for the day, April 11",Daily Horoscope with Pawan Sinha: Here is today's prediction for your zodiac sign,"Daily Horoscope with Pawan Sinha: Know what does your day has in store for you, April 10",GuruJi With Pawan Sinha: This is how women should take care of themselves,GuruJi With Pawan Sinha: How to reduce blood-pressure problems?,Twarit: PM Modi to observe fast on April 12 over Parliament disruption
717,Unnao case: Yogi orders CBI probe against rape accused BJP MLA and his supporters,Unnao case: Yogi orders CBI probe against rape accused BJP MLA and his supporters,Unnao horror: 'Victim's father did not die in jail; will form SIT to probe' says ADG,"Unnao gangrape: Victim's father did not die in jail; SIT formed to probe, says UP ADG",Unnao horror: 'Victim's father did not die in jail; will form SIT to probe' says ADG,Centre okays CBI probe in Unnao rape case,"Unnao SHOCKER: Another BJP MLA’s insensitive remark, says 'who would rape a mother of 3?'"
718,Unnao case: Yogi orders CBI probe against rape accused BJP MLA and his supporters,Unnao case: Yogi orders CBI probe against rape accused BJP MLA and his supporters,Unnao horror: 'Victim's father did not die in jail; will form SIT to probe' says ADG,"Unnao gangrape: Victim's father did not die in jail; SIT formed to probe, says UP ADG",Unnao horror: 'Victim's father did not die in jail; will form SIT to probe' says ADG,Centre okays CBI probe in Unnao rape case,"Unnao SHOCKER: Another BJP MLA’s insensitive remark, says 'who would rape a mother of 3?'"
719,Sriharikota: Watch ISRO launches IRNSS-1I navigation satellite,ISRO successfully launches 'replacement' navigation satellite,In Pics: The Enthralling Launch Of ISRO's Navigation Satellite IRNSS-1I,ISRO launches Navigation satellite IRNSS 1 successfully,Setback: India loses contact with GSAT-6A satellite,"Contact lost with recently launched GSAT-6A, says ISRO",China's Tiangong-1 space lab set to hit Earth
720,"SHAMEFUL statement by BJP MLA Surendra Singh, says 'Who rapes a mother of three'",Kuldeep Singh Sengar must be arrested immediately after FIR register under POCSO Act,Unnao Gangrape: BJP MLA Kuldeep Singh Sengar's brother arrested,"Unnao: It is conspiracy against Sengar, says BJP's Surendra Singh after insensitive remarks on rape ",Unnao Gangrape: FIR registered against woman named Shashi Singh too,"Unnao SHOCKER: Another BJP MLA’s insensitive remark, says 'who would rape a mother of 3?'","I am in Lucknow and ready for arrest, says accused BJP MLA Kuldeep Sengar"
721,Shocking Video: Pregnant Pakistani singer shot dead while performance,Shocking Video: Pregnant Pakistani singer shot dead while performance,Video of pregnant Pakistani singer who was shot dead while singing surfaces,Pregnant artist shot dead for refusing to stand while singing in Pak,VIRAL SACH: Viral videos claim BJP MLA Kuldeep Singh Sengar is innocent?,VIRAL SACH: Viral videos claim BJP MLA Kuldeep Singh Sengar is innocent?,Viral Sach: Social media surfaces with video claiming BJP MLA Kuldeep Sengar innocent 
722,GuruJi With Pawan Sinha: Correct decisions will help you turn your destiny for good,GuruJi With Pawan Sinha: This is how women should take care of themselves,"Daily Horoscope with Pawan Sinha: Here is prediction for the day, April 11","Daily Horoscope with Pawan Sinha: Here is prediction for the day, April 12","Daily Horoscope with Pawan Sinha: Know what does your day has in store for you, April 10",Daily Horoscope with Pawan Sinha: Here is today's prediction for your zodiac sign,"My life is in danger, accused MLA's brother Atul Sengar will kill me: Unnao rape victim"
723,Shocking Video: Pregnant Pakistani singer shot dead while performance,Shocking Video: Pregnant Pakistani singer shot dead while performance,Video of pregnant Pakistani singer who was shot dead while singing surfaces,Pregnant artist shot dead for refusing to stand while singing in Pak,VIRAL SACH: Viral videos claim BJP MLA Kuldeep Singh Sengar is innocent?,VIRAL SACH: Viral videos claim BJP MLA Kuldeep Singh Sengar is innocent?,Viral Sach: Social media surfaces with video claiming BJP MLA Kuldeep Sengar innocent 
724,IPL 2018: Delhi Daredevils lost the game due to THIS REASON,Amit Shah reaches Lucknow for the first time after defeat of BJP in UP bypolls,IPL 2018: Shikhar Dhawan aka Gabbar helped Sunrisers Hyderabad register stunning win,"Unnao: Even after father's death govt. is asking question to us, says victim's sister in tears",Deepika Singh shares her beauty tips for summer ," Unnao gang rape case: SIT reaches at victim's village, begins probe",Saas Bahu Aur Saazish: Day out with Dishank Arora
725,Unnao Gangrape: When BJP MLA Kuldeep Singh Sengar faked his surrender,Unnao Gangrape: FIR registered against woman named Shashi Singh too,Amit Shah reaches Lucknow for the first time after defeat of BJP in UP bypolls,Kuldeep Singh Sengar must be arrested immediately after FIR register under POCSO Act,Unnao Gangrape: BJP MLA Kuldeep Singh Sengar's brother arrested,Unnao Rape Case: CBI to decide Kuldeep Sengar's arrest even after FIR registered under POCSO act," Unnao gang rape case: SIT reaches at victim's village, begins probe"
726,Unnao rape case: FIR registered against BJP MLA Kuldeep Singh Sengar,Unnao rape case: FIR registered against BJP MLA Kuldeep Singh Sengar,Unnao rape case: FIR registered against BJP MLA Kuldeep Singh Sengar,Unnao rape case: FIR registered against BJP MLA Kuldeep Singh Senger,Unnao rape case: FIR registered against BJP MLA Kuldeep Singh Senger,"Unnao rape episode: 'Case has been given to CBI, agency will decide on arrest,' says DGP","Unnao rape episode: 'Case has been given to CBI, agency will decide on arrest,' says UP DGP"
727,"I stole the keys of my dad's car, REVEALS Rohit Shetty during announcement of 'Little Singham'",Deepika Singh shares her beauty tips for summer ,Twarit: PM Modi to observe fast on April 12 over Parliament disruption,Saas Bahu Aur Saazish: Salman Khan caught in a new look ,"Bharat Bandh: Section 144 imposed, shops remain closed in Meerut ","Saas Bahu Aur Saazish: Watch 11th April, 2018 full episode ",Saas Bahu Aur Saazish: Serial Mahakaali will now come once a week 
728,Major jolt to US Republicans as House Speaker Paul Ryan decides to retire,FBI seizes documents related to porn star Stormy Daniels in a raid at Trump's lawyer's office,FBI conduct raids on Trump's lawyer's office,"Uttarakhand Shikhar Sammelan: BJP govt is good for nothing when it comes to work, says Harish Rawat",China gained from 'poor' US leadership in past: Trump,Trump calls off his South America visit,"Committed to ensure integrity of elections in India, other countries : Mark Zuckerberg"
729,Unnao rape case: FIR registered against BJP MLA Kuldeep Singh Senger,Unnao rape case: FIR registered against BJP MLA Kuldeep Singh Senger,Unnao rape case: FIR registered against BJP MLA Kuldeep Singh Sengar,Unnao rape case: FIR registered against BJP MLA Kuldeep Singh Sengar,"Unnao rape episode: 'Case has been given to CBI, agency will decide on arrest,' says DGP",Unnao rape case: FIR registered against BJP MLA Kuldeep Singh Sengar,"Unnao rape episode: 'Case has been given to CBI, agency will decide on arrest,' says UP DGP"
